Date,local_price,dollar_ex,dollar_price,dollar_ppp,dollar_valuation,dollar_adj_valuation,euro_adj_valuation,sterling_adj_valuation,yen_adj_valuation,yuan_adj_valuation
2022-01-31,14.08,4.094,3.43917928676111,2.4234079173838188,-40.806,-11.14,-14.151,-10.054,27.669,-15.174999999999999
2021-07-31,13.43,3.90685,3.43755199201403,2.37699115044248,-39.158,-6.662,-14.517,-7.607,23.439,-6.3100000000000005
2021-01-31,13.08,3.7226,3.51367323913394,2.310954063604241,-37.9,-2.3,-13.3,3.6999999999999997,20.7,-4.7
2020-07-31,11.0,3.94345,2.78943564645171,1.9264448336252182,-51.148,-22.0,-23.5,-12.5,-0.2,-16.6
2020-01-31,11.0,3.7966,2.89732918927461,1.940035273368604,-48.901,-20.8,-18.6,-13.600000000000001,4.3999999999999995,-13.5
2019-07-31,10.8,3.80775,2.8363206618081,1.8815331010453,-50.6,-23.2,-20.4,-9.1,2.4,-12.8
2019-01-31,10.5,3.74845,2.8011578118956,1.8817204301075,-49.8,-18.0,-20.2,-6.6,4.3,-14.7
2018-07-31,10.1,3.68695,2.7393916380748,1.8330308529946,-50.3,-20.5,-24.4,-13.3,3.4,-17.5
2018-01-31,10.1,3.40575,2.9655729281362,1.9128787878788,-43.833846058026,-11.001333876718,-20.58757827979,-8.7609026602089,16.019570121252,-11.616786765368
2017-07-31,10.1,3.7086,2.723399665642,1.9056603773585,-48.615100648264,-20.284331178881,-21.480537573861,-7.3874876633247,8.2827707706387,-11.849046672347
2017-01-31,9.6,4.17215,2.300971920952,1.897233201581,-54.526246621501,-28.481620150852,-27.133854130916,-12.760381103741,-10.682326800633,-23.52918892884
2016-07-31,9.6,3.96565,2.4207885214278,1.9047619047619,-51.968481717703,-25.151930454498,-26.376777616446,-13.792007951293,-12.179308221486,-18.134053812567
2016-01-31,9.6,4.0477,2.3717172715369,1.947261663286,-51.892144593572,-27.043269375308,-21.073904837104,-21.080618433714,-2.5064594746914,-19.437848295444
2015-07-31,9.6,3.7736,2.5439898240407,2.0041753653445,-46.889565260111,-22.320601248182,-18.73146726627,-23.342074306888,6.7307584227912,-14.33813575396
2015-01-31,9.2,3.7066,2.4820590298387,1.9206680584551,-48.182483719443,-22.017336491648,-23.060363270976,-24.371332595181,4.2381431516566,-17.773371645409
2014-07-31,9.2,3.0714,2.9953767011786,1.9186652763295,-37.53124710785,-5.9884586221899,-20.600534349357,-18.480453837224,18.18695559314,0.42731066662276
2014-01-31,9.2,3.0684,2.9983053056968,1.9895476662462,-35.160094308233,-2.3243699459493,-16.161982502248,-11.338826733208,48.283923620806,-3.4860968035899
2013-07-31,9.2,3.3655,2.7336205615807,2.0190197512802,-40.008327105031,-12.395949075808,-20.672366245773,-9.2468790146454,22.099968584,-6.3402250529524
2013-01-31,9.1,3.092,2.9430789133247,2.0836215326639,-32.612498943599,-1.8965336598822,-18.627866953406,-7.7641934356931,19.237380448549,2.3727802029663
2012-07-31,9.1,3.46035,2.6297917840681,2.10283073368,-39.230692453655,-9.9937590190291,-18.949615099206,-16.123156205338,-8.736799875044,-4.3387882688748
2012-01-31,9.1,3.52045,2.5848968171683,2.168101743535,-38.414073668565,-6.6873540835161,-20.484994101819,-8.6782895736988,-9.9400290322029,-6.3542537567046
2011-07-31,8.63,2.7968,3.0856693363844,2.1230012300123,-24.091775242695,21.282984827492,-11.022663499989,11.561008795048,14.972026511784,17.382506056994
2010-07-31,8.3,3.1969,2.5962651318465,2.2232142857143,-30.457183968398,,,,,
2010-01-31,8.1,2.83565,2.8564879304569,2.2625698324022,-20.20983434478,,,,,
2009-07-31,7.6,3.15525,2.408683939466,2.1288515406162,-32.529861639609,,,,,
2008-06-30,7.0,2.03145,3.4458145659504,1.9607843137255,-3.4785835868227,,,,,
2007-06-30,6.9,2.75185,2.5074041099624,2.0234604105572,-26.469087684387,,,,,
2007-01-31,6.9,2.97175,2.3218642214184,2.1428571428571,-27.892415483902,,,,,
2006-05-31,6.5,3.09915,2.0973492731878,2.0967741935484,-32.343571832651,,,,,
2006-01-31,6.5,3.1151,2.0866103816892,2.0634920634921,-33.758400581295,,,,,
2005-06-30,6.5,3.3096,1.9639835629683,2.1241830065359,-35.81753062195,,,,,
2004-05-31,6.3,3.87,1.63,2.1724137931034,-43.865276663994,,,,,
2003-04-30,6.3,3.89,1.56,2.3247232472325,-40.238476934898,,,,,
2002-04-30,5.9,4.04,1.46,2.3694779116466,-41.349556642411,,,,,
2001-04-30,5.9,4.03,1.46,2.3228346456693,-42.361423184385,,,,,
2000-04-30,5.5,4.3,1.28,2.191235059761,-49.041045121838,,,,,
